#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# vrs620.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Version 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Prof. Dr. Peter A. Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNU GPL V2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
w,HWC,StorageLoadDirect,Einmalige Speicherheizung (evtl. FE),,25,B505,06,,,onoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,NightTemp,Absenktemperatur,,26,B505,0A,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,NightTemp,Absenktemperatur,,50,B505,0A,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HWC,NightTemp,Absenktemperatur,,25,B505,0A,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,HeatingCurve,Heizkurve (Verhältnis Innen/Außen),,26,B505,0B,,,UIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,HeatingCurve,Heizkurve (Verhältnis Innen/Außen),,50,B505,0B,,,UIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,OutsideTempLimit,Abschalttemperatur,,26,B505,0C,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,OutsideTempLimit,Abschalttemperatur,,50,B505,0C,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,RoomTempAction,Raumaufschaltung,,26,B505,0D,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,PumpBlockingTime,Pumpensperrzeit ,,50,B505,0D,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,MinFlowTemp,MinVL,,26,B505,0E,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,MinFlowTemp,MinVL,,50,B505,0E,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,MaxFlowTemp,MaxVL,,26,B505,0F,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,MaxFlowTemp,MaxVL,,50,B505,0F,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
