Files with a maintainer. If you wish to change a file, please contact the
maintainer of the file to do the change.

The third column specifies, where/how the maintainer should be contacted. If
there is no reaction from the mainainer within 3 weeks, then rudolfkoenig
(forum.fhem.de/FHEM Forum) should be contacted, in order to assign a new
maintainer.

When adding a new file, add yourself as the maintainer.

File                         Maintainer           Forum
FHEM/98_Sprinkle.pm          Tobias               Unterstuetzende Dienste
FHEM/98_apptime.pm           martinp876           Sonstiges
FHEM/98_alarmclock.pm        FlorianZ             Unterstuetzende Dienste
FHEM/98_BOSEST.pm            dominikkarall        Multimedia
FHEM/98_ComfoAir.pm          StefanStrobel        Sonstiges
FHEM/98_CULflash.pm          rudolfkoenig         Sonstiges
FHEM/98_DLNARenderer.pm      dominikkarall        Multimedia
FHEM/98_DOIF.pm              damian-s             Automatisierung/DOIF
FHEM/98_DOIFtools.pm         Ellert               Automatisierung/DOIF
FHEM/98_FReplacer.pm         stefanstrobel        Sonstiges
FHEM/98_GAEBUS.pm            jamesgo              Heizungssteuerung/Raumklima
